QR;ToolNummer;ToolName;Typ;Radius;Eckenradius;Spitzenwinkel;Eintauchwinkel;Schneiden;Schnittlaenge;Ausspann_Laenge;IST_Laenge;SOLL_Laenge;Steigung;Message1;Message2;Message3;Message4;Message5;Lage
120824120546;;;;;;;;;;;;;;;308196 6;;;;
090824075729;53;D6_SCHLICHT_KURZ;10;3;0;0;2.5;3;13;25;155;152;0;202392 6;308196 6;0;309880 63;HSK63;C32
080824161156;51;D5_SCHLICHT_KURZ;10;2.5;0;0;2.5;3;14;20;154;152;0;202392 5;308196 6;0;309880 63;HSK63;C32
090824074544;44;D1.5_SCHLICHT_KURZ;10;0.75;0;0;2.5;3;5;8;157;150;0;202392 1.5;308196 6;0;309880 63;HSK63;C32
090824073924;45;D2_SCHLICHT_KURZ;10;1;0;0;2.5;3;6;10;151;150;0;202392 2;308196 6;0;309880 63;HSK63;C32
090824073309;46;D2.5_SCHLICHT_KURZ;10;1.25;0;0;2.5;3;7;13;155;150;0;202392 2.5;308196 6;0;309880 63;HSK63;C32
090824072510;47;D3_SCHLICHT_KURZ;10;1.5;0;0;2.5;3;9;15;155;152;0;202392 3;308196 6;0;309880 63;HSK63;C32
080824161841;48;D3.5_SCHLICHT_KURZ;10;1.75;0;0;2.5;3;12;16;158;152;0;202392 3.5;308196 6;0;309880 63;HSK63;C32
080824161627;49;D4_SCHLICHT_KURZ;10;1.99;0;0;2.5;3;12;17;154;152;0;202392 4;308196 6;0;309880 63;HSK63;C32
080824161414;50;D4.5_SCHLICHT_KURZ;10;2.25;0;0;2.5;3;14;19;153;152;0;202392 4.5;308196 6;0;309880 63;HSK63;C32
120824130003;210;D5_ALU_DLC;10;2.5;0;0;2.5;3;13;19;152.5;152;0;202270 5;308196 6;0;309880 63;HSK63;C32
090824075438;43;D1_SCHLICHT_KURZ;10;0.5;0;0;2.5;3;3;6;151;142;0;202392 1;308196 6;0;309880 63;HSK63;Configmachine
120824133127;211;D6_ALU_DLC;10;3;0;0;2.5;3;13;19;152.5;152;0;202272 6;308196 6;0;309880 63;HSK63;C32
120824132942;209;D4_ALU_DLC;10;2;0;0;2.5;3;11;17.5;153;151;0;202270 4;308196 6;0;309880 63;HSK63;C32
120824134051;;;;;;;;;;;;;;;308196 6;;;;
120824120351;;;;;;;;;;;;;;;308196 6;;;;
120824135646;208;D3_ALU_DLC;10;1.5;0;0;2.5;3;9;13.5;151.3;191.5;0;202270 3;308196 6;0;309880 63;HSK63;C32
120824133304;212;D8_ALU_DLC;10;4;0;0;2.5;3;22;25;162.2;158;0;202272 8;308196 8;0;309880 63;HSK63;C32
120824135310;;;;;;;;;;;;;;;308196 8;;;;
120824132751;;;;;;;;;;;;;;;308196 8;;;;
120824124757;;;;;;;;;;;;;;;308196 8;;;;
120824083951;;;;;;;;;;;;;;;308196 8;;;;
090824100551;55;D8_SCHLICHT_KURZ;10;4;0;0;2.5;3;20;33;163;158;0;202392 8;308196 8;0;309880 63;HSK63;C32
120824101012;729;D2.9_BOHRER_VHM_BLAU;1;1.45;0;140;0;1;19;22;160.5;155;0;122659 2.9;308196 4;0;309880 63;HSK63;C32
120824072358;;;;;;;;;;;;;;;308196 4;;;;
120824135500;;;;;;;;;;;;;;;308196 4;;;;
120824072114;172;VHM_BOHRER_D2.8_M3_3H7;1;1.4;0;135;0;1;18;21;157;155;0;122715 2.8;308196 4;0;309880 63;HSK63;C32
120824133457;;;;;;;;;;;;;;;308196 10;;;;
120824131627;785;D8.5_BOHRER_VHM_6XD;1;4.25;0;135;0;1;55;62;200;184;0;123106 8.5;308196 10;0;309880 63;HSK63;C32
120824121119;213;D10_ALU_DLC;10;5;0;0;2.5;3;17;27;161;164;0;202272 10;308196 10;0;309880 63;HSK63;C32
090824101930;57;D10_SCHLICHT_KURZ;10;5;0;0;2.5;3;16;24;159.5;162;0;202392 10;308196 10;0;309880 63;HSK63;C32
120824140209;;;;;;;;;;;;;;;308196 10;;;;
120824140020;;;;;;;;;;;;;;;308196 10;;;;
120824125130;1214;D12_ALU_DLC_NEU;10;6;0;0;2.5;3;27;36;166;170;0;202272 12;308196 12;0;309880 63;HSK63;C32
090824102349;59;D12_SCHLICHT_KURZ;10;6;0;0;2.5;3;27;45;175;167;0;202392 12;308196 12;0;309880 63;HSK63;C32
120824131441;;;;;;;;;;;;;;;308196 12;;;;
120824125605;214;D12_ALU_DLC;10;6;0;0;2.5;3;21;33;166;170;0;202272 12;308196 12;0;309880 63;HSK63;C32
120824132121;;;;;;;;;;;;;;;308196 12;;;;
120824072614;;;;;;;;;;;;;;;308196 14;;;;
120824132549;;;;;;;;;;;;;;;308196 14;;;;
120824133647;215;D16_ALU_DLC;10;8;0;0;2.5;3;27;35;170;177;0;202272 16;308196 16;0;309880 63;HSK63;C32
090824103004;61;D16_SCHLICHT_KURZ;10;8;0;0;2.5;3;24;38;168;173;0;202392 16;308196 16;0;309880 63;HSK63;C32
120824134924;1215;D16_ALU_DLC_NEU;10;8;0;0;2.5;3;36;43;179;177;0;202272 16;308196 16;0;309880 63;HSK63;C32
120824135833;;;;;;;;;;;;;;;308196 16;;;;
090824104732;63;D20_SCHLICHT_KURZ;10;10;0;0;2.5;3;38;52;188;183;0;202392 20;308196 20;0;309880 63;HSK63;C32
120824135112;;;;;;;;;;;;;;;308196 18;;;;
120824100250;18;D32_MK_ALU_EINSCHRAUBER;0;17.414;1.2;0;2.5;3;15;118;143.693;143.5;0;1AX2K032043X8R00;307042 M16X75;0;309880 63;HSK63;C32
120824091642;6;D42_MK_RUNDPLATTE;0;20;5;0;2.5;5;12;64;90;89.5;0;5B5H042R01;306530 16;0;309880 63;HSK63;C32
120824090405;1;3D_TASTER;99;4;2;0;0;0;0;0;166;0;0;0;329085-01;0;0;HSK63;C32
120824090557;20;D50_MK_ALU;0;25;1.2;0;2.5;4;15;124;150;149.5;0;AX2K050R00;306562 22;0;309880 63;HSK63;C32
120824095841;22;D100_MK_ALU;0;50;0.8;0;2.5;6;15;96;122.5;120.5;0;AX2K100R00;306530 32;;309880 63;HSK63;
120824091345;14;D63_MK_SCHRUPP;0;31.5;0.5;0;2.5;7;11;64;90;89.5;0;TJ5Q063R00;306530 22;;309880 63;HSK63;
120824100053;10;D63_MK_ECK;0;31.5;0.5;0;2.5;9;9;114;140;139.5;0;KJ5D063R00;306562 22;;309880 63;HSK63;
120824094741;8;D32_MK_ECK_EINSCHRAUBER;0;16;0.5;0;2.5;5;7;115;144;143.5;0;1KJ1D032043X8R00;307044 M16X75;;309880 63;HSK63;
120824095112;17;D25_MK_ALU_EINSCHRAUBER;0;12.5;1.2;0;2.5;2;15;93;126;126.5;0;1AX2K025043X7R00;HSKA63ODP12X84;0;309880 63;HSK63;C32
120824091030;4;D50_MK_ECK_EDELSTAHL;0;25;0.5;0;2.5;7;7;64;90;89.5;0;KJ5D050R00;306530 22;;309880 63;HSK63;
120824100440;9;D40_MK_ECK;0;20;0.5;0;2.5;6;7;112;140;139.5;0;KJ5D040R00;306562 16;;309880 63;HSK63;
120824090800;12;D63_MK_SCHLICHT;0;31.5;0.2;0;2.5;9;1;89;115;114.5;0;2F5D063R00;306541 22;0;309880 63;HSK63;C32
120824142325;19;D40_MK_ALU;0;20;1.2;0;2.5;3;15;150;179.5;179.5;0;AX2K040R00;306566 16;0;309880 63;HSK6;C32
120824070318;152;VHM_BOHRER_D3.4;1;1.7;0;135;0;1;26;28;153.8;152;0;122715 3.4;308192 6;0;309880 63;HSK63;C32
120824070551;153;VHM_BOHRER_D4.5;1;2.25;0;135;0;1;33;37;162.5;160;0;122715 4.5;308192 6;0;309880 63;HSK63;C32
120824073941;154;VHM_BOHRER_D5.5;1;2.75;0;135;0;1;42;46;168.7;168;0;122715 5.5;308192 6;0;309880 63;HSK63;C32
120824075530;193;VHM_BOHRER_D5.9_6H7;1;2.95;0;135;0;1;40;46;169.5;168;0;122715 5.9;308192 6;0;309880 63;HSK63;C32
120824075107;191;VHM_BOHRER_D3.9_4H7;1;1.95;0;135;0;1;30;34;160;160;0;122715 3.9;308192 6;0;309880 63;HSK63;C32
120824083352;200;VHM_REIBAHLE_4H7;3;2;0;0;0;4;36;36;162;162;0;164362 4;308192 6;0;309880 63;HSK63;C32
120824083551;201;VHM_REIBAHLE_5H7;3;2.5;0;0;0;4;37;37;161;162;0;164362 5;308192 6;0;309880 63;HSK63;C32
120824113217;335;D6X1.5_NUTENFRAESER_DOCKWEILER;7;3;0.75;0;0;3;1.5;6;151;105;0;DCR.3.60.15.75.2.06AN25;308192 6;0;309880 63;HSK63;C32
120824075338;192;VHM_BOHRER_D4.9_5H7;1;2.45;0;135;0;1;41;45;169;168;0;122715 4.9;308192 6;0;309880 63;HSK63;C32
120824071833;173;VHM_BOHRER_D3.7_M4;1;1.85;0;135;0;1;24;28;162;152;0;122715 3.7;308192 6;0;309880 63;HSK63;C32
120824071501;174;VHM_BOHRER_D4.65_M5;1;2.325;0;135;0;1;31;37;161.5;160;0;122715 4.65;308192 6;0;309880 63;HSK63;C32
120824070906;175;VHM_BOHRER_D5.55_M6;1;2.775;0;135;0;3;36;39;163;168;0;122715 5.55;308192 6;0;309880 63;HSK63;C32
120824083751;202;VHM_REIBAHLE_6H7;3;3;0;0;0;4;38;38;162;162;0;164362 6;308192 6;0;309880 63;HSK63;C32
120824100824;759;D5.9_BOHRER_VHM_BLAU;1;2.95;0;140;0;1;43;47;171.5;168;0;122659 5.9;308192 6;;309880 63;HSK63;
